Year Vector,Assembly (NAICS 3361),Powertrain (NAICS 33635),Engine (NAICS 33631),Other Parts (NAICS 3363x),All Manufacturing Workers
2004,947017,690527,605877,525694,14257380
2005,928198,679143,594756,515416,14190394
2006,888703,648293,567035,493955,14110663
2007,827096,604870,529101,461407,13833022
2008,736710,541085,472116,411477,13382697
2009,567648,412171,358782,312855,11810371
2010,568075,415325,360600,313185,11487496
2011,608078,446832,388410,335783,11701497
2012,656855,483686,420166,363358,11904945
2013,693585,509811,440097,380946,11994922
2014,737764,538815,462225,400500,12156537
2015,766728,564354,484220,421697,12291676
2016,792101,580719,500508,436422,12296697
2017,811996,588899,506649,443250,12406757
2018,835015,599400,514219,450228,12647900
2019,835714,595665,511805,449470,12776157
2020,743967,516963,443199,388643,12083479
2021,792281,538945,462013,406038,12302657
2022,829170,551067,472428,415942,12759129
