Year,Employment (Gov),WPV (Gov),WPV (US)
2004,6577,17.2770688088095,21.9323279641072
2005,6983,16.7298357922175,21.4063459151358
2006,6739,15.7220745952831,22.0251523373541
2007,6543,16.0410895094266,20.9945391297809
2008,6581,19.2403834628012,22.9582205568816
2009,5938,22.0930751715208,27.70537082576
2010,3260,35.8975488360825,20.0033105315236
2011,1350,NaN,19.0369170692361
2012,1956,NaN,17.0978019269868
2013,3478,143.09812795721,16.878541619941
2014,5929,168.936630955095,17.3829734251925
2015,8257,161.600939426558,16.959124850363
2016,9473,112.878625390243,17.4677490541698
2017,12970,128.001421141453,19.7429296175891
2018,17583,69.0802655875535,21.2212961063202
2019,16740,45.9592132573386,22.463901095163
2020,16964,47.6100934296163,25.7569867715809
2021,23506,55.116688590475,27.9337887963163
2022,26575,55.8597568024887,27.2569511826508
